question,answer
What is stock?,"A stock, also known as equity, is a security that represents the ownership of a fraction of the issuing corporation."
How much time should I spend while researching stocks?,Stock researching is a not a lengthy process but beginners can easily take up anywhere between 2 to 4 hours to complete the entire process.
Where can I get the company’s financial report and other information?,You can often find a company's financial reports on the company's own website.
What does bid mean in stock?,When a trader in the market makes an offer to buy shares.Traders will bid for a stock at a certain price.
What does Bid-Ask Spread mean in stock?,The difference between the highest price at which someone is willing to buy shares and the lowest price someone is willing to sell shares.
What does Bull Market mean in stock?,A market condition where stock prices are continually rising. Bull markets are characterized by optimism and excitement from traders and investors.
What does bear market mean in stock?,"A bear market is the opposite of a bull market. It’s a market in which prices continually fall. Bear markets are times when the outlook seems bleak for a company, an industry, or the overall economy. Traders and investors are less willing to buy stocks, and many are looking to sell. This causes prices to fall."
What does day order mean in stock?,"With this market order, if it isn’t filled during the day, it’s automatically canceled at the market close."
What does going long mean in stock?,"When going long, you purchase stock shares hoping to profit from an increase in the stock price."
What does going short mean in stock?,"When a trader tries to profit from a stock’s dropping price. Short sellers borrow shares from a broker, sell them, and hope the stock price declines. Then they buy the shares back and return them to the broker."
What does IPO mean in stock?,IPO stands for initial public offering. It’s when a company goes through the process of selling shares on the stock market for the first time.
What does Forex mean in stock?,Forex is short for foreign exchange. The term refers to the global trading of currencies in a way similar to the way stocks are traded.
